가	k a
급쏙또로	k ɯ p̚ s͈ o k̚ t͈ o ɾ o
기가	k i g a
기계가	k i g j e k a
기계로	k i g j e ɾ o
기관시레	k i g w a n s i ɾ e
기껀	k i k͈ ʌ n
기념푸민	k i n j ʌ m pʰ u m i n
기다려서	k i d a ɾ j ʌ s ʌ
기다렫따	k i d a ɾ j ʌ t̚ t͈ a
기다리고	k i d a ɾ i g o
기다리나	k i d a ɾ i n a
기다리는	k i d a ɾ i n ɯ n
기다리다	k i d a ɾ i d a
기다리얻따	k i d a ɾ i ʌ t̚ t͈ a
기다리지	k i d a ɾ i d͡ʑ i
기다린다	k i d a ɾ i n t a
기대를	k i d ɛ ɾ ɯ l
기도	k i d o
기럳따	k i ɾ ʌ t̚ t͈ a
기로글	k i ɾ o g ɯ l
기로카여	k i ɾ o kʰ a j ʌ
기르는	k i ɾ ɯ n ɯ n
기르미	k i ɾ ɯ m i
기른	k i ɾ ɯ n
기를	k i ɾ ɯ l
기름주머니가	k i ɾ ɯ m t͡ɕ u m ʌ n i g a
기리	k i ɾ i
기리요	k i ɾ i j o
기마늬	k i m a n i
기메	k i m e
기믈	k i m ɯ l
기벼른	k i b j ʌ ɾ ɯ n
기부는	k i b u n ɯ n
기부니	k i b u n i
기부된	k i b u d w e n
기뻐서	k i p͈ ʌ s ʌ
기뻐하는	k i p͈ ʌ h a n ɯ n
기상을	k i s a ŋ ɯ l
기상일세	k i s a ŋ i l s e
기새글	k i s ɛ g ɯ l
기새기	k i s ɛ g i
기생을	k i s ɛ ŋ ɯ l
기생할	k i s ɛ ŋ h a l
기수른	k i s u ɾ ɯ n
기숙싸에	k i s u k̚ s͈ a e
기어기	k i ʌ g i
기어나오려고	k i ʌ n a o ɾ j ʌ g o
기어드러간다	k i ʌ d ɯ ɾ ʌ g a n t a
기어이	k i ʌ i
기억찌	k i ʌ k̚ t͡ɕ͈ i
기엄기엄	k i ʌ m k i ʌ m
기여하지	k i j ʌ h a d͡ʑ i
기우네	k i u n e
기우니	k i u n i
기우렫따	k i u ɾ j ʌ t̚ t͈ a
기저귀에서	k i d͡ʑ ʌ g w i e s ʌ
기저근	k i d͡ʑ ʌ g ɯ n
기저기	k i d͡ʑ ʌ g i
기중기에	k i d͡ʑ u ŋ k i e
기지개를	k i d͡ʑ i g ɛ ɾ ɯ l
기차는	k i t͡ɕʰ a n ɯ n
기처는	k i t͡ɕʰ ʌ n ɯ n
기처늘	k i t͡ɕʰ ʌ n ɯ l
기처늬	k i t͡ɕʰ ʌ n i
기처니는	k i t͡ɕʰ ʌ n i n ɯ n
기천	k i t͡ɕʰ ʌ n
기치므로	k i t͡ɕʰ i m ɯ ɾ o
기치믄	k i t͡ɕʰ i m ɯ n
기치믈	k i t͡ɕʰ i m ɯ l
기치미	k i t͡ɕʰ i m i
기픈	k i pʰ ɯ n
기피	k i pʰ i
기회는	k i h w e n ɯ n
기회라는	k i h w e ɾ a n ɯ n
기회로늘	k i h w e ɾ o n ɯ l
기회를	k i h w e ɾ ɯ l
기회에	k i h w e e
긴	k i n
긴장되고	k i n t͡ɕ a ŋ t w e g o
긴장하기	k i n t͡ɕ a ŋ h a g i
긴장해진다	k i n t͡ɕ a ŋ h ɛ d͡ʑ i n t a
긷꼬	k i t̚ k͈ o
길	k i l
길기도	k i l k i d o
길까가치	k i l k͈ a g a t͡ɕʰ i
길로	k i l l o
길모글	k i l m o g ɯ l
김	k i m
김첨지	k i m t͡ɕʰ ʌ m t͡ɕ i
김첨지가	k i m t͡ɕʰ ʌ m t͡ɕ i g a
김첨지는	k i m t͡ɕʰ ʌ m t͡ɕ i n ɯ n
김첨지를	k i m t͡ɕʰ ʌ m t͡ɕ i ɾ ɯ l
김첨지의	k i m t͡ɕʰ ʌ m t͡ɕ i ɰ i
김치국뿌터	k i m t͡ɕʰ i g u k̚ p͈ u tʰ ʌ
깁따케	k i p̚ t͈ a kʰ e
까겓쏘	k͈ a g e t̚ s͈ o
까따캐	k͈ a t͈ a kʰ ɛ
까르는	k͈ a ɾ ɯ n ɯ n
까마버렫따	k͈ a m a b ʌ ɾ j ʌ t̚ t͈ a
까마아드칸	k͈ a m a a d ɯ kʰ a n
까마케	k͈ a m a kʰ e
까묻까묻	k͈ a m u t̚ k͈ a m u t̚
까벼이	k͈ a b j ʌ i
까부리는	k͈ a b u ɾ i n ɯ n
까분다	k͈ a b u n t a
까치	k͈ a t͡ɕʰ i
까치처럼	k͈ a t͡ɕʰ i t͡ɕʰ ʌ ɾ ʌ m
까칠하게	k͈ a t͡ɕʰ i l h a g e
까카	k͈ a kʰ a
까타	k͈ a tʰ a
까타서	k͈ a tʰ a s ʌ
까탇따	k͈ a tʰ a t̚ t͈ a
까트니라	k͈ a tʰ ɯ n i ɾ a
까트면	k͈ a tʰ ɯ m j ʌ n
까튼	k͈ a tʰ ɯ n
깍뜨시	k͈ a k̚ t͈ ɯ s i
깍쨍이	k͈ a k̚ t͡ɕ͈ ɛ ŋ i
깐지카고	k͈ a n t͡ɕ i kʰ a g o
깐통이나	k͈ a n tʰ o ŋ i n a
깓따	k͈ a t̚ t͈ a
깓씀니다	k͈ a t̚ s͈ ɯ m n i d a
깔고	k͈ a l k o
깔깔	k͈ a l k͈ a l
깔리어	k͈ a l l i ʌ
깜깜한	k͈ a m k͈ a m h a n
깜박	k͈ a m p a k̚
깜정에	k͈ a m t͡ɕ ʌ ŋ e
깡충깡충	k͈ a ŋ t͡ɕʰ u ŋ k͈ a ŋ t͡ɕʰ u ŋ
깨	k͈ ɛ
깨끄타게	k͈ ɛ k͈ ɯ tʰ a g e
깨끄탄	k͈ ɛ k͈ ɯ tʰ a n
깨다랃따	k͈ ɛ d a ɾ a t̚ t͈ a
깨다르니	k͈ ɛ d a ɾ ɯ n i
깨다르며	k͈ ɛ d a ɾ ɯ m j ʌ
깨다를	k͈ ɛ d a ɾ ɯ l
깨닫꼬	k͈ ɛ d a t̚ k͈ o
깨뜨리려	k͈ ɛ t͈ ɯ ɾ i l j ʌ
깨문다	k͈ ɛ m u n t a
깨물고	k͈ ɛ m u l k o
깨물며	k͈ ɛ m u l m j ʌ
깨어나는	k͈ ɛ ʌ n a n ɯ n
깨어쓰므로	k͈ ɛ ʌ s͈ ɯ m ɯ ɾ o
깨어진	k͈ ɛ ʌ d͡ʑ i n
깨인가요	k͈ ɛ i n k a j o
깨지고	k͈ ɛ d͡ʑ i g o
꺼꾸러젇따	k͈ ʌ k͈ u ɾ ʌ d͡ʑ ʌ t̚ t͈ a
꺼내	k͈ ʌ n ɛ
꺼내라고	k͈ ʌ n ɛ ɾ a g o
꺼내면서	k͈ ʌ n ɛ m j ʌ n s ʌ
꺼낻따	k͈ ʌ n ɛ t̚ t͈ a
꺼름	k͈ ʌ ɾ ɯ m
꺼린다	k͈ ʌ ɾ i n t a
꺼림치카고	k͈ ʌ ɾ i m t͡ɕʰ i kʰ a g o
꺼슨	k͈ ʌ s ɯ n
꺼슬	k͈ ʌ s ɯ l
꺼시	k͈ ʌ s i
꺼시나	k͈ ʌ s i n a
꺼시다	k͈ ʌ s i d a
꺼시라	k͈ ʌ s i ɾ a
꺼시며	k͈ ʌ s i m j ʌ
꺼시오	k͈ ʌ s i o
꺼시지	k͈ ʌ s i d͡ʑ i
꺼심니다	k͈ ʌ s i m n i d a
꺼야	k͈ ʌ j a
꺼저	k͈ ʌ d͡ʑ ʌ
꺼저가는	k͈ ʌ d͡ʑ ʌ g a n ɯ n
꺼지려는	k͈ ʌ d͡ʑ i ɾ j ʌ n ɯ n
꺼푸	k͈ ʌ pʰ u
껀강에	k͈ ʌ n k a ŋ e
껃	k͈ ʌ t̚
껃처럼	k͈ ʌ t̚ t͡ɕʰ ʌ ɾ ʌ m
껄그렁걸그렁하엳따	k͈ ʌ l k ɯ ɾ ʌ ŋ k ʌ l k ɯ ɾ ʌ ŋ h a j ʌ t̚ t͈ a
껄껄	k͈ ʌ l k͈ ʌ l
껄끄러운	k͈ ʌ l k͈ ɯ ɾ ʌ u n
껌니다	k͈ ʌ m n i d a
께	k͈ e
껴를도	k͈ j ʌ ɾ ɯ l t o
껴아나	k͈ j ʌ a n a
껴아낟따	k͈ j ʌ a n a t̚ t͈ a
껸디게	k͈ j ʌ n t i g e
껸딜	k͈ j ʌ n t i l
꼉영은	k͈ j ʌ ŋ j ʌ ŋ ɯ n
꼉제	k͈ j ʌ ŋ t͡ɕ e
꼐지배가	k͈ j e d͡ʑ i b ɛ g a
꼬구라	k͈ o g u ɾ a
꼬리를	k͈ o ɾ i l ɯ l
꼬박꼬바	k͈ o b a k̚ k͈ o b a
꼬생을	k͈ o s ɛ ŋ ɯ l
꼬슬	k͈ o s ɯ l
꼬투리나마	k͈ o tʰ u ɾ i n a m a
꼬투리만	k͈ o tʰ u ɾ i m a n
꼭	k͈ o k̚
꼭꼭	k͈ o k̚ k͈ o k̚
꼰	k͈ o n
꼳쪼차도	k͈ o t̚ t͡ɕ͈ o t͡ɕʰ a d o
꼴딱꼴땅	k͈ o l t͈ a k̚ k͈ o l t͈ a ŋ
꽁기를	k͈ o ŋ k i ɾ ɯ l
꽁꽁	k͈ o ŋ k͈ o ŋ
꽈니나	k͈ w a n i n a
꽈정에서	k͈ w a d͡ʑ ʌ ŋ e s ʌ
꽉	k͈ w a k̚
꾀꼬리	k͈ w e k͈ o ɾ i
꾀에	k͈ w e e
꾀하는	k͈ w e h a n ɯ n
꾸러	k͈ u ɾ ʌ
꾸메도	k͈ u m e d o
꾸믈	k͈ u m ɯ l
꾸미	k͈ u m i
꾸지라미	k͈ u d͡ʑ i ɾ a m i
꾸지즈며	k͈ u d͡ʑ i t͡ɕ ɯ m j ʌ
꾸짇떤	k͈ u d͡ʑ i t̚ t͈ ʌ n
꾹	k͈ u k̚
꾹꾹	k͈ u k̚ k͈ u k̚
꿀러가유	k͈ u l l ʌ g a j u
꿀버른	k͈ u l p ʌ ɾ ɯ n
꿈버기지	k͈ u m p ʌ g i d͡ʑ i
꿈벅꿈버카며	k͈ u m p ʌ k̚ k͈ u m p ʌ kʰ a m j ʌ
꿍	k͈ u ŋ
꿍무를	k͈ u ŋ m u ɾ ɯ l
꿜리를	k͈ w ʌ l l i ɾ ɯ l
끄	k͈ ɯ
끄너	k͈ ɯ n ʌ
끄너저	k͈ ɯ n ʌ d͡ʑ ʌ
끄너지곤	k͈ ɯ n ʌ d͡ʑ i g o n
끄넏따	k͈ ɯ n ʌ t̚ t͈ a
끄느라고	k͈ ɯ n ɯ ɾ a g o
끄느며	k͈ ɯ n ɯ m j ʌ
끄니	k͈ ɯ n i
끄니멈는	k͈ ɯ n i m ʌ m n ɯ n
끄니멉씨	k͈ ɯ n i m ʌ p̚ s͈ i
끄대	k͈ ɯ d ɛ
끄드를	k͈ ɯ d ɯ ɾ ɯ l
끄러	k͈ ɯ ɾ ʌ
끄러내려	k͈ ɯ ɾ ʌ n ɛ ɾ j ʌ
끄러내어	k͈ ɯ ɾ ʌ n ɛ ʌ
끄러드린다	k͈ ɯ ɾ ʌ d ɯ ɾ i n t a
끄러온다고	k͈ ɯ ɾ ʌ o n t a g o
끄러케	k͈ ɯ ɾ ʌ kʰ e
끄려	k͈ ɯ ɾ j ʌ
끄리는	k͈ ɯ ɾ i n ɯ n
끄린	k͈ ɯ ɾ i n
끄세	k͈ ɯ s e
끄센	k͈ ɯ s e n
끄시	k͈ ɯ s i
끄의	k͈ ɯ ɰ i
끄지	k͈ ɯ d͡ʑ i
끈	k͈ ɯ n
끈나기를	k͈ ɯ n n a g i ɾ ɯ l
끈나면	k͈ ɯ n n a m j ʌ n
끈낟씀니다	k͈ ɯ n n a t̚ s͈ ɯ m n i d a
끈내고	k͈ ɯ n n ɛ g o
끋까지	k͈ ɯ t̚ k͈ a d͡ʑ i
끋또	k͈ ɯ t̚ t͈ o
끌고	k͈ ɯ l k o
끌른	k͈ ɯ l l ɯ n
끔	k͈ ɯ m
끼	k͈ i
끼간	k͈ i g a n
끼도를	k͈ i d o ɾ ɯ l
끼묘한	k͈ i m j o h a n
끼어아나	k͈ i ʌ a n a
끼얻씀니다	k͈ i ʌ t̚ s͈ ɯ m n i d a
끼첟따	k͈ i t͡ɕʰ ʌ t̚ t͈ a
끽쏘리	k͈ i k̚ s͈ o ɾ i
낀	k͈ i n
낄	k͈ i l
낌만	k͈ i m m a n
낌첨지의	k͈ i m t͡ɕʰ ʌ m t͡ɕ i ɰ i
나	n a
나가	n a g a
나가곤	n a g a k o n
나가는	n a g a n ɯ n
나가리	n a g a ɾ i
나가면	n a g a m j ʌ n
나가서	n a g a s ʌ
나가시던	n a g a s i d ʌ n
나가지	n a g a d͡ʑ i
나간다	n a g a n t a
나갇따	n a g a t̚ t͈ a
나갈	n a g a l
나게	n a g e
나기	n a g i
나뉘게	n a n w i g e
나는	n a n ɯ n
나는가	n a n ɯ n k a
나다니시지를	n a d a n i s i d͡ʑ i ɾ ɯ l
나도	n a d o
나도록	n a d o ɾ o k̚
나들	n a d ɯ l
나라드는	n a ɾ a d ɯ n ɯ n
나란히	n a ɾ a n h i
나레	n a ɾ e
나로	n a ɾ o
나른	n a ɾ ɯ n
나를	n a ɾ ɯ l
나리니라	n a ɾ i n i ɾ a
나리얻따	n a ɾ i ʌ t̚ t͈ a
나맏떤	n a m a t̚ t͈ ʌ n
나무	n a m u
나무가	n a m u g a
나무다리는	n a m u d a ɾ i n ɯ n
나무다리를	n a m u d a ɾ i l ɯ l
나무라믈	n a m u ɾ a m ɯ l
나무를	n a m u ɾ ɯ l
나무의	n a m u ɰ i
나무인지라	n a m u i n t͡ɕ i ɾ a
나묻까리	n a m u t̚ k͈ a ɾ i
나묻까지	n a m u t̚ k͈ a d͡ʑ i
나므로	n a m ɯ ɾ o
나믜	n a m i
나빠	n a p͈ a
나쁜	n a p͈ ɯ n
나서	n a s ʌ
나서니	n a s ʌ n i
나서며	n a s ʌ m j ʌ
나서야	n a s ʌ j a
나섣따	n a s ʌ t̚ t͈ a
나써두	n a s͈ ʌ d u
나써유	n a s͈ ʌ j u
나쓰미다	n a s͈ ɯ m i d a
나아가기로	n a a g a k i ɾ o
나아마이얻떠라	n a a m a i ʌ t̚ t͈ ʌ ɾ a
나에게	n a e g e
나에게는	n a e g e n ɯ n
나오기	n a o g i
나오기를	n a o g i ɾ ɯ l
나오는	n a o n ɯ n
나오는거슬	n a o n ɯ n k ʌ s ɯ l
나오셔써요	n a o s j ʌ s͈ ʌ j o
나온	n a o n
나올	n a o l
나와	n a w a
나와서	n a w a s ʌ
나와쓰랴	n a w a s͈ ɯ ɾ j a
나왇따	n a w a t̚ t͈ a
나요	n a j o
나으니라	n a ɯ n i ɾ a
나의	n a ɰ i
나이에	n a i e
나자지게	n a d͡ʑ a t͡ɕ i g e
나중에	n a d͡ʑ u ŋ e
나중에는	n a d͡ʑ u ŋ e n ɯ n
나지	n a d͡ʑ i
나지를	n a d͡ʑ i ɾ ɯ l
나츨	n a t͡ɕʰ ɯ l
나타나기를	n a tʰ a n a g i ɾ ɯ l
나타난다	n a tʰ a n a n t a
나타낟따	n a tʰ a n a t̚ t͈ a
난	n a n
난다	n a n t a
난모를	n a n m o ɾ ɯ l
난장보사른	n a n t͡ɕ a ŋ p o s a ɾ ɯ n
난장보사리	n a n t͡ɕ a ŋ p o s a ɾ i
난처하엳따	n a n t͡ɕʰ ʌ h a j ʌ t̚ t͈ a
난처한	n a n t͡ɕʰ ʌ h a n
낟따	n a t̚ t͈ a
낟씀니다	n a t̚ s͈ ɯ m n i d a
날	n a l
날까지	n a l k͈ a d͡ʑ i
날뛰는구나	n a l t͈ w i n ɯ n k u n a
날씨	n a l s͈ i
날카로운	n a l kʰ a ɾ o u n
남	n a m
남겨	n a m k j ʌ
남녀	n a m n j ʌ
남녀노소	n a m n j ʌ n o s o
남산	n a m s a n
남펴늬	n a m pʰ j ʌ n i
남폳뿌를	n a m pʰ o t̚ p͈ u ɾ ɯ l
남하고	n a m h a g o
남학쌩드른	n a m h a k̚ s͈ ɛ ŋ t ɯ ɾ ɯ n
남학쌩의	n a m h a k̚ s͈ ɛ ŋ ɰ i
납쎄의	n a p̚ s͈ e ɰ i
납짜칸	n a p̚ t͡ɕ͈ a kʰ a n
낭망을	n a ŋ m a ŋ ɯ l
내	n ɛ
내가	n ɛ g a
내내	n ɛ n ɛ
내는	n ɛ n ɯ n
내다보니까	n ɛ d a b o n i k͈ a
내다보엳따	n ɛ d a b o j ʌ t̚ t͈ a
내라면	n ɛ ɾ a m j ʌ n
내려가서	n ɛ ɾ j ʌ g a s ʌ
내려간	n ɛ ɾ j ʌ g a n
내려간다	n ɛ ɾ j ʌ g a n t a
내려갇따	n ɛ ɾ j ʌ g a t̚ t͈ a
내려논는다	n ɛ ɾ j ʌ n o n n ɯ n t a
내려다보이는	n ɛ ɾ j ʌ d a b o i n ɯ n
내려다본다	n ɛ ɾ j ʌ d a b o n t a
내려안잗따	n ɛ ɾ j ʌ a n t͡ɕ a t̚ t͈ a
내려와서	n ɛ ɾ j ʌ w a s ʌ
내렫따	n ɛ ɾ j ʌ t̚ t͈ a
내로	n ɛ ɾ o
내리기가	n ɛ ɾ i g i k a
내리실무는	n ɛ ɾ i s i l m u n ɯ n
내며	n ɛ m j ʌ
내미럳따	n ɛ m i ɾ ʌ t̚ t͈ a
내밀며	n ɛ m i l m j ʌ
내배얻껀만	n ɛ b ɛ ʌ t̚ k͈ ʌ n m a n
내버리는	n ɛ b ʌ ɾ i n ɯ n
내버리믈	n ɛ b ʌ ɾ i m ɯ l
내보낸	n ɛ b o n ɛ n
내뺄까	n ɛ p͈ ɛ l k͈ a
내서	n ɛ s ʌ
내시고	n ɛ s i g o
내시미며	n ɛ s i m i m j ʌ
내얻따	n ɛ ʌ t̚ t͈ a
내외부네게는	n ɛ w e b u n e g e n ɯ n
내용과	n ɛ j o ŋ k w a
내이리나	n ɛ i ɾ i n a
내일	n ɛ i l
내준	n ɛ d͡ʑ u n
내지	n ɛ d͡ʑ i
내지도	n ɛ d͡ʑ i d o
내쪼차주겓따니까	n ɛ t͡ɕ͈ o t͡ɕʰ a d͡ʑ u g e t̚ t͈ a n i k͈ a
냄새가	n ɛ m s ɛ g a
냄새를	n ɛ m s ɛ ɾ ɯ l
냉수	n ɛ ŋ s u
너	n ʌ
너는	n ʌ n ɯ n
너더러	n ʌ d ʌ ɾ ʌ
너들	n ʌ d ɯ l
너로	n ʌ ɾ o
너머가는	n ʌ m ʌ g a n ɯ n
너머젇따가	n ʌ m ʌ d͡ʑ ʌ t̚ t͈ a g a
너머지는	n ʌ m ʌ d͡ʑ i n ɯ n
너무	n ʌ m u
너무나	n ʌ m u n a
너어	n ʌ ʌ
너의	n ʌ ɰ i
너코	n ʌ kʰ o
너히가	n ʌ h i g a
넉	n ʌ k̚
넌	n ʌ n
널븐	n ʌ l p ɯ n
넘긴다	n ʌ m k i n t a
넘는다	n ʌ m n ɯ n t a
네	n e
네가	n e g a
네벨	n e b e l
네째	n e t͡ɕ͈ ɛ
녀니	n j ʌ n i
녀니라는	n j ʌ n i ɾ a n ɯ n
녀니면	n j ʌ n i m j ʌ n
녀니에요	n j ʌ n i e j o
년	n j ʌ n
노가젇따	n o g a d͡ʑ ʌ t̚ t͈ a
노가지고	n o g a d͡ʑ i g o
노동자드릐	n o d o ŋ t͡ɕ a d ɯ ɾ i
노래	n o ɾ ɛ
노래라도	n o ɾ ɛ l a d o
노래를	n o ɾ ɛ l ɯ l
노려카여야	n o ɾ j ʌ kʰ a j ʌ j a
노로	n o ɾ o
노르슬	n o ɾ ɯ s ɯ l
노륻까지도	n o ɾ ɯ t̚ k͈ a d͡ʑ i d o
노를	n o ɾ ɯ l
노메게	n o m e g e
노바기로	n o b a g i ɾ o
노비가	n o b i g a
노아쓰면	n o a s͈ ɯ m j ʌ n
노앋따	n o a t̚ t͈ a
노으니	n o ɯ n i
노으라고	n o ɯ ɾ a g o
노은	n o ɯ n
노인	n o i n
노코도	n o kʰ o d o
노파진다	n o pʰ a d͡ʑ i n t a
노픈	n o pʰ ɯ n
노피는	n o pʰ i n ɯ n
논는	n o n n ɯ n
논다니드리	n o n t a n i d ɯ ɾ i
논두기	n o n t u g i
논틀	n o n tʰ ɯ l
놀라	n o l l a
놀라며	n o l l a m j ʌ
놀라지	n o l l a d͡ʑ i
놀란	n o l l a n
놀랃따	n o l l a t̚ t͈ a
놀렫따	n o l l j ʌ t̚ t͈ a
놈	n o m
놈드른	n o m t ɯ ɾ ɯ n
농민드른	n o ŋ m i n t ɯ ɾ ɯ n
농민드리란	n o ŋ m i n t ɯ ɾ i l a n
농부들과	n o ŋ p u d ɯ l k w a
농사	n o ŋ s a
농우회의	n o ŋ u h w e ɰ i
농촌사어베다만	n o ŋ t͡ɕʰ o n s a ʌ b e d a m a n
놔	n w a
놔주얻따	n w a d͡ʑ u ʌ t̚ t͈ a
뇌란	n w e ɾ a n
누가	n u g a
누구나	n u g u n a
누구뇨	n u g u n j o
누구든지	n u g u d ɯ n t͡ɕ i
누구를	n u g u ɾ ɯ l
누구에게	n u g u e g e
누구에게도	n u g u e g e d o
누구에게든지	n u g u e g e d ɯ n t͡ɕ i
누구와	n u g u w a
누구이믈	n u g u i m ɯ l
누군지	n u g u n t͡ɕ i
누나페	n u n a pʰ e
누나프로	n u n a pʰ ɯ ɾ o
누네	n u n e
누네는	n u n e n ɯ n
누네서	n u n e s ʌ
누네서는	n u n e s ʌ n ɯ n
누넨	n u n e n
누느로	n u n ɯ ɾ o
누는	n u n ɯ n
누늘	n u n ɯ l
누니	n u n i
누룩	n u ɾ u k̚
누운	n u u n
누울	n u u l
누워	n u w ʌ
누워서	n u w ʌ s ʌ
누웓따	n u w ʌ t̚ t͈ a
누이는	n u i n ɯ n
눈	n u n
눈가가	n u n k a g a
눈가로	n u n k a ɾ o
눈겨레	n u n k j ʌ ɾ e
눈꼬비	n u n k͈ o b i
눈등이	n u n t ɯ ŋ i
눈똥자는	n u n t͈ o ŋ t͡ɕ a n ɯ n
눈무를	n u n m u ɾ ɯ l
눈무리	n u n m u ɾ i
눈송이가	n u n s o ŋ i g a
눈송이는	n u n s o ŋ i n ɯ n
눈시우레	n u n s i u ɾ e
눈처럼	n u n t͡ɕʰ ʌ ɾ ʌ m
눈치다	n u n t͡ɕʰ i d a
눈치도	n u n t͡ɕʰ i d o
눈치를	n u n t͡ɕʰ i ɾ ɯ l
눌럳따	n u l l ʌ t̚ t͈ a
느껴	n ɯ k͈ j ʌ
느껻따	n ɯ k͈ j ʌ t̚ t͈ a
느끼믈	n ɯ k͈ i m ɯ l
느끼어	n ɯ k͈ i ʌ
느러논는다	n ɯ ɾ ʌ n o n n ɯ n t a
느러진	n ɯ ɾ ʌ d͡ʑ i n
느럳따	n ɯ ɾ ʌ t̚ t͈ a
는	n ɯ n
늗께	n ɯ t̚ k͈ e
늗추자받따	n ɯ t̚ t͡ɕʰ u d͡ʑ a b a t̚ t͈ a
늘	n ɯ l
늘거서도	n ɯ l k ʌ s ʌ d o
늘근	n ɯ l k ɯ n
늘꼬	n ɯ l k͈ o
니믄	n i m ɯ n
다	t a
다가서며	t a g a s ʌ m j ʌ
다가섣따	t a g a s ʌ t̚ t͈ a
다가안는다	t a g a a n n ɯ n t a
다가안잗따	t a g a a n t͡ɕ a t̚ t͈ a
다가안즈며	t a g a a n t͡ɕ ɯ m j ʌ
다가오며	t a g a o m j ʌ
다끄며	t a k͈ ɯ m j ʌ
다끈	t a k͈ ɯ n
다녀옵씨요	t a n j ʌ o p̚ s͈ i j o
다녀와	t a n j ʌ w a
다는	t a n ɯ n
다니고	t a n i g o
다니는	t a n i n ɯ n
다닌다	t a n i n t a
다다라서야	t a d a ɾ a s ʌ j a
다다랃따	t a d a ɾ a t̚ t͈ a
다된	t a d w e n
다들	t a d ɯ l
다라나	t a ɾ a n a
다라나다가	t a ɾ a n a d a g a
다라난는지	t a ɾ a n a n n ɯ n t͡ɕ i
다라난다	t a ɾ a n a n t a
다라오곤	t a ɾ a o g o n
다랃따	t a ɾ a t̚ t͈ a
다르다고	t a ɾ ɯ d a g o
다른	t a ɾ ɯ n
다를	t a ɾ ɯ l
다리	t a ɾ i
다리가	t a ɾ i g a
다리라고는	t a ɾ i l a g o n ɯ n
다리를	t a ɾ i l ɯ l
다리와	t a ɾ i w a
다리파를	t a ɾ i pʰ a ɾ ɯ l
다만	t a m a n
다서	t a s ʌ
다소간	t a s o g a n
다스	t a s ɯ
다스리며	t a s ɯ ɾ i m j ʌ
다시	t a s i
다시금	t a s i g ɯ m
다시는	t a s i n ɯ n
다오	t a o
다위싀	t a w i s i
다으메	t a ɯ m e
다으메는	t a ɯ m e n ɯ n
다은	t a ɯ n
다음	t a ɯ m
다음버네는	t a ɯ m p ʌ n e n ɯ n
다지믈	t a d͡ʑ i m ɯ l
다친	t a t͡ɕʰ i n
다토록	t a tʰ o ɾ o k̚
다투고	t a tʰ u g o
다투는	t a tʰ u n ɯ n
다투믈	t a tʰ u m ɯ l
다투어	t a tʰ u ʌ
다하므로	t a h a m ɯ ɾ o
다하여야	t a h a j ʌ j a
다해	t a h ɛ
다행하엳따	t a h ɛ ŋ h a j ʌ t̚ t͈ a
다행히	t a h ɛ ŋ h i
닥	t a k̚
닥꼬	t a k̚ k͈ o
닥끼에	t a k̚ k͈ i e
닥또리탕	t a k̚ t͈ o ɾ i tʰ a ŋ
닥처오는	t a k̚ t͡ɕʰ ʌ o n ɯ n
닥처온다	t a k̚ t͡ɕʰ ʌ o n t a
닥처왇따	t a k̚ t͡ɕʰ ʌ w a t̚ t͈ a
닥친	t a k̚ t͡ɕʰ i n
단	t a n
단겨레	t a n k j ʌ ɾ e
단겨릐	t a n k j ʌ ɾ i
단단한	t a n t a n h a n
단상에는	t a n s a ŋ e n ɯ n
단소를	t a n s o ɾ ɯ l
단순하게	t a n s u n h a g e
단장을	t a n t͡ɕ a ŋ ɯ l
단체에서	t a n t͡ɕʰ e e s ʌ
닫씀니다	t a t̚ s͈ ɯ m n i d a
달	t a l
달달	t a l t a l
달달달	t a l t a l t a l
달라분는	t a l l a b u n n ɯ n
달라지	t a l l a d͡ʑ i
달려드러	t a l l j ʌ d ɯ ɾ ʌ
달려드럳따	t a l l j ʌ d ɯ ɾ ʌ t̚ t͈ a
달려오던	t a l l j ʌ o d ʌ n
달리	t a l l i
달린	t a l l i n
달만나	t a l m a n n a
달며	t a l m j ʌ
달비체	t a l p i t͡ɕʰ e
달비치	t a l p i t͡ɕʰ i
달뿌니얻따	t a l p͈ u n i ʌ t̚ t͈ a
달캉	t a l kʰ a ŋ
달토록	t a l tʰ o ɾ o k̚
담	t a m
담대하니라	t a m t ɛ h a n i ɾ a
담배	t a m p ɛ
담배를	t a m p ɛ ɾ ɯ l
답따파도롱	t a p̚ t͈ a pʰ a d o ɾ o ŋ
답따패서	t a p̚ t͈ a pʰ ɛ s ʌ
답따패지며	t a p̚ t͈ a pʰ ɛ d͡ʑ i m j ʌ
당	t a ŋ
당겨	t a ŋ k j ʌ
당는	t a ŋ n ɯ n
당는다	t a ŋ n ɯ n t a
당분가는	t a ŋ p u n k a n ɯ n
당시늘	t a ŋ s i n ɯ l
당시니	t a ŋ s i n i
당시의	t a ŋ s i ɰ i
당신네드리	t a ŋ s i n n e d ɯ ɾ i
당연한	t a ŋ j ʌ n h a n
당장에	t a ŋ t͡ɕ a ŋ e
당최	t a ŋ t͡ɕʰ w e
당하는	t a ŋ h a n ɯ n
당해	t a ŋ h ɛ
당황하지	t a ŋ h w a ŋ h a d͡ʑ i
당황한	t a ŋ h w a ŋ h a n
대	t ɛ
대고	t ɛ g o
대다베	t ɛ d a b e
대다블	t ɛ d a b ɯ l
대다비	t ɛ d a b i
