аа	aː
андуурмаар	a n t ʊː r m aː r
андуурсан	a n t ʊː r s a n
андуурч	a n t ʊː r t͡ʃʰ
анжелика	a n t͡ʃ j i ɮ i kʰ a
анжеликагийн	a n t͡ʃ j i ɮ i kʰ a ɡ iː n
анзаараагүй	a n t͡s aː r aː ɡ u j
анзаараад	a n t͡s aː r aː t
анзаарав	a n t͡s aː r a w
анзаарагдам	a n t͡s aː r a ɡ t a m
анзааралгүй	a n t͡s aː r a ɮ ɡ u j
анзааран	a n t͡s aː r a n
анзаарах	a n t͡s aː r a x
анзаарахгүй	a n t͡s aː r a x ɡ u j
анзаардаггүй	a n t͡s aː r t a ɡ ɡ u j
анзаарна	a n t͡s aː r n a
анзаарсан	a n t͡s aː r s a n
анзаарчээ	a n t͡s aː r t͡ʃʰ ɛː
анивалзан	a n i w a ɮ t͡s a n
анивалзах	a n i w a ɮ t͡s a x
анивчин	a n i w t͡ʃʰ i n
анивчина	a n i w t͡ʃʰ i n a
анивчих	a n i w t͡ʃʰ i x
анин	a n i n
анир	a n i r
аниргүй	a n i r ɡ u j
аниулав	a n iʊ ɮ a w
анна	a n n a
антенуудаа	a n tʰʲ i n ʊː t aː
антибиотик	a n tʰ i p iɔ tʰ i kʰ
антоммарки	a n tʰ ɔ m m a r kʰ i
антропологийн	a n tʰ r ɔ pʰ ɔ ɮ ɔ ɡ iː n
ану	a n ʊ
ануухны	a n ʊː x n iː
анх	a n x
анхаа	a n x aː
анхаар	a n x aː r
анхаарал	a n x aː r a ɮ
анхааралд	a n x aː r a ɮ t
анхааралдаа	a n x aː r a ɮ t aː
анхааралтай	a n x aː r a ɮ tʰ a j
анхааралтайяа	a n x aː r a ɮ tʰ a j j a a
анхаарах	a n x aː r a x
анхаарахгүй	a n x aː r a x ɡ u j
анхаарахлаараа	a n x aː r a x ɮ aː r aː
анхаардаг	a n x aː r t a ɡ
анхаарлаа	a n x aː r ɮ aː
анхаарлыг	a n x aː r ɮ iː ɡ
анхаарлын	a n x aː r ɮ iː n
анхаарна	a n x aː r n a
анхаарсангүй	a n x aː r s a n ɡ u j
анхаарснаар	a n x aː r s n aː r
анхааруулж	a n x aː r ʊː ɮ t͡ʃ
анхааруулжээ	a n x aː r ʊː ɮ t͡ʃ ɛː
анхаарууллаа	a n x aː r ʊː ɮ ɮ aː
анхааруулснаа	a n x aː r ʊː ɮ s n aː
анхаарч	a n x aː r t͡ʃʰ
анхандаа	a n x a n t aː
анхилсан	a n x i ɮ s a n
анхлан	a n x ɮ a n
анхнаасаа	a n x n aː s aː
анхны	a n x n iː
анхныхыг	a n x n iː x iː ɡ
анчид	a n t͡ʃʰ i t
аньж	a nʲ t͡ʃ
аньсан	a nʲ s a n
аппарат	a pʰpʰ a r a tʰ
аппаратаар	a pʰpʰ a r a tʰ aː r
аппаратын	a pʰpʰ a r a tʰ iː n
ар	a r
араанд	a r aː n t
араар	a r aː r
араас	a r aː s
араасаа	a r aː s aː
араатан	a r aː tʰ a n
араб	a r a p
арабуудын	a r a p ʊː t iː n
арабыг	a r a p iː ɡ
арав	a r a w
аравдугаар	a r a w t ʊ ɡ aː r
арагшаа	a r a ɡ ʃ aː
арай	a r a j
арайхийн	a r a j x iː n
арал	a r a ɮ
аралд	a r a ɮ t
араншин	a r a n ʃ i n
араншинтай	a r a n ʃ i n tʰ a j
араншныг	a r a n ʃ n iː ɡ
арваад	a r w aː t
арвай	a r w a j
арван	a r w a n
арвижуулах	a r w i t͡ʃ ʊː ɮ a x
арвижуулахад	a r w i t͡ʃ ʊː ɮ a x a t
арвин	a r w i n
арга	a r ɡ a
аргаа	a r ɡ aː
аргаар	a r ɡ aː r
аргаас	a r ɡ aː s
аргагүй	a r ɡ a ɡ u j
аргагүйн	a r ɡ a ɡ u j n
аргадав	a r ɡ a t a w
аргадан	a r ɡ a t a n
аргадах	a r ɡ a t a x
аргазүйн	a r ɡ a t͡s u j n
аргайгаар	a r ɡ a j ɡ aː r
аргалаад	a r ɡ a ɮ aː t
аргалж	a r ɡ a ɮ t͡ʃ
аргалын	a r ɡ a ɮ iː n
аргамж	a r ɡ a m t͡ʃ
аргамжаатай	a r ɡ a m t͡ʃ aː tʰ a j
аргамждаг	a r ɡ a m t͡ʃ t a ɡ
аргамжсан	a r ɡ a m t͡ʃ s a n
аргатай	a r ɡ a tʰ a j
аргентинд	a r ɡʲ i n tʰ i n t
аргон	a r ɡ ɔ n
аргууд	a r ɡ ʊː t
аргуудыг	a r ɡ ʊː t iː ɡ
аргыг	a r ɡ iː ɡ
аргын	a r ɡ iː n
ард	a r t
ардаа	a r t aː
ардууд	a r t ʊː t
ардуудад	a r t ʊː t a t
ардчиллаас	a r t t͡ʃʰ i ɮ ɮ aː s
ардчиллыг	a r t t͡ʃʰ i ɮ ɮ iː ɡ
ардчиллын	a r t t͡ʃʰ i ɮ ɮ iː n
ардчилсан	a r t t͡ʃʰ i ɮ s a n
ардын	a r t iː n
аржилстритийн	a r t͡ʃ i ɮ s tʰ r i tʰ iː n
арзганан	a r t͡s ɡ a n a n
арилав	a r i ɮ a w
арилгаж	a r i ɮ ɡ a t͡ʃ
арилгах	a r i ɮ ɡ a x
арилгахад	a r i ɮ ɡ a x a t
арилдаг	a r i ɮ t a ɡ
арилж	a r i ɮ t͡ʃ
арилжааг	a r i ɮ t͡ʃ aː ɡ
арилжаанаас	a r i ɮ t͡ʃ aː n aː s
арилжааны	a r i ɮ t͡ʃ aː n iː
арилжээ	a r i ɮ t͡ʃ ɛː
арилсанд	a r i ɮ s a n t
ариун	a r iʊ n
ариусан	a r iʊ s a n
ариусган	a r iʊ s ɡ a n
ариутгах	a r iʊ tʰ ɡ a x
ариухан	a r iʊ x a n
арлууд	a r ɮ ʊː t
арлуудыг	a r ɮ ʊː t iː ɡ
арлыг	a r ɮ iː ɡ
арми	a r m i
армиасаа	a r m ia s aː
армийн	a r m iː n
армийнхаа	a r m iː n x aː
арслангийн	a r s ɮ a n ɡ iː n
арслантай	a r s ɮ a n tʰ a j
артасэдийн	a r tʰ a s ɛ t iː n
артур	a r tʰ ʊ r
архи	a r x i
архидаж	a r x i t a t͡ʃ
архидан	a r x i t a n
архийг	a r x iː ɡ
архин	a r x i n
архинаас	a r x i n aː s
архинд	a r x i n t
архирлаа	a r x i r ɮ aː
архитектур	a r x i tʰʲ i kʰ tʰ ʊ r
арц	a r t͡sʰ
арчаагүй	a r t͡ʃʰ aː ɡ u j
арчдаг	a r t͡ʃʰ t a ɡ
арчдас	a r t͡ʃʰ t a s
арчив	a r t͡ʃʰ i w
арчигджээ	a r t͡ʃʰ i ɡ t t͡ʃ ɛː
арчиж	a r t͡ʃʰ i t͡ʃ
арчилж	a r t͡ʃʰ i ɮ t͡ʃ
арчин	a r t͡ʃʰ i n
арчина	a r t͡ʃʰ i n a
арчлахад	a r t͡ʃʰ ɮ a x a t
арчсаны	a r t͡ʃʰ s a n iː
арыг	a r iː ɡ
арын	a r iː n
арьс	a rʲ s
арьсаар	a rʲ s aː r
арьсанд	a rʲ s a n t
арьснаас	a rʲ s n aː s
арьстай	a rʲ s tʰ a j
арьсыг	a rʲ s iː ɡ
арьяабал	a rʲ j a a p a ɮ
асаав	a s aː w
асааж	a s aː t͡ʃ
асаажээ	a s aː t͡ʃ ɛː
асаан	a s aː n
асаана	a s aː n a
асаасан	a s aː s a n
асаах	a s aː x
асаахад	a s aː x a t
асаж	a s a t͡ʃ
асан	a s a n
асар	a s a r
асарсны	a s a r s n iː
асарт	a s a r tʰ
асарч	a s a r t͡ʃʰ
асгадаг	a s ɡ a t a ɡ
асгарав	a s ɡ a r a w
асгарах	a s ɡ a r a x
асгарахгүй	a s ɡ a r a x ɡ u j
асгарсаар	a s ɡ a r s aː r
асгарсан	a s ɡ a r s a n
асгарсны	a s ɡ a r s n iː
асгаруулахгүй	a s ɡ a r ʊː ɮ a x ɡ u j
асгаруулна	a s ɡ a r ʊː ɮ n a
асрагч	a s r a ɡ t͡ʃʰ
асрагчийн	a s r a ɡ t͡ʃʰ iː n
асрах	a s r a x
астрид	a s tʰ r i t
асуув	a s ʊː w
асуугаад	a s ʊː ɡ aː t
асуудаг	a s ʊː t a ɡ
асуудал	a s ʊː t a ɮ
асуудалд	a s ʊː t a ɮ t
асуудалтай	a s ʊː t a ɮ tʰ a j
асуудлаа	a s ʊː t ɮ aː
асуудлаар	a s ʊː t ɮ aː r
асуудлууд	a s ʊː t ɮ ʊː t
асуудлуудтай	a s ʊː t ɮ ʊː t tʰ a j
асуудлыг	a s ʊː t ɮ iː ɡ
асуудлын	a s ʊː t ɮ iː n
асууж	a s ʊː t͡ʃ
асуулаа	a s ʊː ɮ aː
асуулгын	a s ʊː ɮ ɡ iː n
асуулгүй	a s ʊː ɮ ɡ u j
асуулт	a s ʊː ɮ tʰ
асуултад	a s ʊː ɮ tʰ a t
асуултыг	a s ʊː ɮ tʰ iː ɡ
асуултын	a s ʊː ɮ tʰ iː n
асуун	a s ʊː n
асууна	a s ʊː n a
асуусан	a s ʊː s a n
асуусангүй	a s ʊː s a n ɡ u j
асуусанд	a s ʊː s a n t
асуутал	a s ʊː tʰ a ɮ
асуух	a s ʊː x
асуухад	a s ʊː x a t
асуухгүй	a s ʊː x ɡ u j
асуухыг	a s ʊː x iː ɡ
асчхаад	a s t͡ʃʰ x aː t
атаархагчдад	a tʰ aː r x a ɡ t͡ʃʰ t a t
атаархаж	a tʰ aː r x a t͡ʃ
атаархлыг	a tʰ aː r x ɮ iː ɡ
атаархмаар	a tʰ aː r x m aː r
атаархсан	a tʰ aː r x s a n
атабаскан	a tʰ a p a s kʰ a n
атал	a tʰ a ɮ
атгаад	a tʰ ɡ aː t
атгад	a tʰ ɡ a t
атгаж	a tʰ ɡ a t͡ʃ
атгалаа	a tʰ ɡ a ɮ aː
атган	a tʰ ɡ a n
атгасаар	a tʰ ɡ a s aː r
атгасан	a tʰ ɡ a s a n
атгахан	a tʰ ɡ a x a n
атгачихсан	a tʰ ɡ a t͡ʃʰ i x s a n
атигар	a tʰ i ɡ a r
атилла	a tʰ i ɮ ɮ a
атируулан	a tʰ i r ʊː ɮ a n
атлаа	a tʰ ɮ aː
атлантын	a tʰ ɮ a n tʰ iː n
атомын	a tʰ ɔ m iː n
аттестатаар	a tʰ tʰʲ i s tʰ a tʰ aː r
атугай	a tʰ ʊ ɡ a j
аугаа	aʊ ɡ aː
аудитын	aʊ t i tʰ iː n
африк	a f r i kʰ
африкийн	a f r i kʰ iː n
африкт	a f r i kʰ tʰ
ах	a x
ахаа	a x aː
ахад	a x a t
ахадсан	a x a t s a n
ахайтан	a x a j tʰ a n
ахалж	a x a ɮ t͡ʃ
ахиад	a x ia t
ахиж	a x i t͡ʃ
ахин	a x i n
ахина	a x i n a
ахисаар	a x i s aː r
ахиулаад	a x iʊ ɮ aː t
ахих	a x i x
ахицад	a x i t͡sʰ a t
ахлагч	a x ɮ a ɡ t͡ʃʰ
ахлагчийн	a x ɮ a ɡ t͡ʃʰ iː n
ахлах	a x ɮ a x
ахмадууд	a x m a t ʊː t
ахтай	a x tʰ a j
ахтайгаа	a x tʰ a j ɡ aː
ахуй	a x ʊi
ахуйг	a x ʊi ɡ
ахуйд	a x ʊi t
ахуйн	a x ʊi n
ахыг	a x iː ɡ
ахыгаа	a x iː ɡ aː
ацан	a t͡sʰ a n
ач	a t͡ʃʰ
ачаа	a t͡ʃʰ aː
ачааг	a t͡ʃʰ aː ɡ
ачаагаа	a t͡ʃʰ aː ɡ aː
ачаад	a t͡ʃʰ aː t
ачаалаад	a t͡ʃʰ aː ɮ aː t
ачаалав	a t͡ʃʰ aː ɮ a w
ачаалагдах	a t͡ʃʰ aː ɮ a ɡ t a x
ачаалахад	a t͡ʃʰ aː ɮ a x a t
ачааллаас	a t͡ʃʰ aː ɮ ɮ aː s
ачаанаас	a t͡ʃʰ aː n aː s
ачааны	a t͡ʃʰ aː n iː
ачаар	a t͡ʃʰ aː r
ачжээ	a t͡ʃʰ t͡ʃ ɛː
ачигхори	a t͡ʃʰ i ɡ x ɔ r i
ачийг	a t͡ʃʰ iː ɡ
ачийгаа	a t͡ʃʰ iː ɡ aː
ачир	a t͡ʃʰ i r
ачлага	a t͡ʃʰ ɮ a ɡ a
ачтай	a t͡ʃʰ tʰ a j
ачтан	a t͡ʃʰ tʰ a n
ашгийг	a ʃ ɡ iː ɡ
ашгүй	a ʃ ɡ u j
ашиг	a ʃ i ɡ
ашиггүй	a ʃ i ɡ ɡ u j
ашигла	a ʃ i ɡ ɮ a
ашигладаг	a ʃ i ɡ ɮ a t a ɡ
ашиглаж	a ʃ i ɡ ɮ a t͡ʃ
ашиглалтад	a ʃ i ɡ ɮ a ɮ tʰ a t
ашиглан	a ʃ i ɡ ɮ a n
ашиглана	a ʃ i ɡ ɮ a n a
ашигласан	a ʃ i ɡ ɮ a s a n
ашиглах	a ʃ i ɡ ɮ a x
ашиглахаар	a ʃ i ɡ ɮ a x aː r
ашиглахгүй	a ʃ i ɡ ɮ a x ɡ u j
ашиглахыг	a ʃ i ɡ ɮ a x iː ɡ
ашигтай	a ʃ i ɡ tʰ a j
аюул	a j uʊ ɮ
аюулаас	a j uʊ ɮ aː s
аюулгүй	a j uʊ ɮ ɡ u j
аюулд	a j uʊ ɮ t
аюулт	a j uʊ ɮ tʰ
аюултай	a j uʊ ɮ tʰ a j
аюулын	a j uʊ ɮ iː n
аюурбарбад	a j uʊ r p a r p a t
ая	a j
аяа	a j a
аяараа	a j a r aː
аяархан	a j a r x a n
аяга	a j ɡ a
аягаар	a j ɡ aː r
аяганаас	a j ɡ a n aː s
аяганаасаа	a j ɡ a n aː s aː
аяганд	a j ɡ a n t
аяганы	a j ɡ a n iː
аягыг	a j ɡ iː ɡ
аягүй	a j ɡ u j
аялагчдад	a j ɮ a ɡ t͡ʃʰ t a t
аялагчид	a j ɮ a ɡ t͡ʃʰ i t
аялал	a j ɮ a ɮ
аялалд	a j ɮ a ɮ t
аялан	a j ɮ a n
аялах	a j ɮ a x
аялахаар	a j ɮ a x aː r
аялгагүй	a j ɮ ɡ a ɡ u j
аялгуунуудад	a j ɮ ɡ ʊː n ʊː t a t
аялгууны	a j ɮ ɡ ʊː n iː
аялдан	a j ɮ t a n
аяллын	a j ɮ ɮ iː n
аялна	a j ɮ n a
аялуулаад	a j ɮ ʊː ɮ aː t
аялуулан	a j ɮ ʊː ɮ a n
аян	a j n
аянга	a j n ɡ a
аянд	a j n t
аяндаа	a j n t aː
аяны	a j n iː
аяныхаа	a j n iː x aː
аяс	a j s
аятайхан	a j tʰ a j x a n
аятайхнаас	a j tʰ a j x n aː s
аяыг	a j iː ɡ
ба	p a
баавгай	p aː w ɡ a j
баавгайгаас	p aː w ɡ a j ɡ aː s
баавгайн	p aː w ɡ a j n
баавгайнууд	p aː w ɡ a j n ʊː t
баазууд	p aː t͡s ʊː t
баасан	p aː s a n
баастай	p aː s tʰ a j
баатар	p aː tʰ a r
баатараас	p aː tʰ a r aː s
баатарлаг	p aː tʰ a r ɮ a ɡ
баатарын	p aː tʰ a r iː n
баатрууд	p aː tʰ r ʊː t
баатруудыг	p aː tʰ r ʊː t iː ɡ
баатрыг	p aː tʰ r iː ɡ
баатрын	p aː tʰ r iː n
баахан	p aː x a n
баашилж	p aː ʃ i ɮ t͡ʃ
бавуу	p a w ʊː
баг	p a ɡ
бага	p a ɡ a
багаар	p a ɡ aː r
багаасаа	p a ɡ aː s aː
багагүй	p a ɡ a ɡ u j
багад	p a ɡ a t
багадаа	p a ɡ a t aː
багадсан	p a ɡ a t s a n
багажууд	p a ɡ a t͡ʃ ʊː t
багажхэрэгслэл	p a ɡ a t͡ʃ x ɛ r ɛ ɡ s ɮ ɛ ɮ
багана	p a ɡ a n a
багануур	p a ɡ a n ʊː r
багасгаж	p a ɡ a s ɡ a t͡ʃ
багасна	p a ɡ a s n a
багатай	p a ɡ a tʰ a j
багахан	p a ɡ a x a n
багачууд	p a ɡ a t͡ʃʰ ʊː t
багачуудгүй	p a ɡ a t͡ʃʰ ʊː t ɡ u j
багачуудын	p a ɡ a t͡ʃʰ ʊː t iː n
багваахай	p a ɡ w aː x a j
багдадыг	p a ɡ t a t iː ɡ
багийг	p a ɡ iː ɡ
багийн	p a ɡ iː n
багийнхан	p a ɡ iː n x a n
багийнхныг	p a ɡ iː n x n iː ɡ
баглаагаар	p a ɡ ɮ aː ɡ aː r
багтааж	p a ɡ tʰ aː t͡ʃ
багтаан	p a ɡ tʰ aː n
багтамгүй	p a ɡ tʰ a m ɡ u j
багтана	p a ɡ tʰ a n a
багтах	p a ɡ tʰ a x
багтахуйц	p a ɡ tʰ a x ʊi t͡sʰ
багтрал	p a ɡ tʰ r a ɮ
багтсан	p a ɡ tʰ s a n
багуудын	p a ɡ ʊː t iː n
багц	p a ɡ t͡sʰ
багцаалах	p a ɡ t͡sʰ aː ɮ a x
багцыг	p a ɡ t͡sʰ iː ɡ
багш	p a ɡ ʃ
багшаа	p a ɡ ʃ aː
багшаар	p a ɡ ʃ aː r
багшаас	p a ɡ ʃ aː s
багшид	p a ɡ ʃ i t
багшийг	p a ɡ ʃ iː ɡ
багшийгаа	p a ɡ ʃ iː ɡ aː
багшийн	p a ɡ ʃ iː n
багштай	p a ɡ ʃ tʰ a j
багштайгаа	p a ɡ ʃ tʰ a j ɡ aː
багштан	p a ɡ ʃ tʰ a n
багын	p a ɡ iː n
багынхаа	p a ɡ iː n x aː
бадаг	p a t a ɡ
бадамхатаныг	p a t a m x a tʰ a n iː ɡ
бадарч	p a t a r t͡ʃʰ
бадарчид	p a t a r t͡ʃʰ i t
бадарчийн	p a t a r t͡ʃʰ iː n
бадруулаагүй	p a t r ʊː ɮ aː ɡ u j
баероны	p a j i r ɔ n iː
базааж	p a t͡s aː t͡ʃ
базаасан	p a t͡s aː s a n
базаахаар	p a t͡s aː x aː r
базаахгүй	p a t͡s aː x ɡ u j
базахыг	p a t͡s a x iː ɡ
бай	p a j
байв	p a j w
байвал	p a j w a ɮ
байвч	p a j w t͡ʃʰ
байг	p a j ɡ
байгаа	p a j ɡ aː
байгааг	p a j ɡ aː ɡ
байгаагаа	p a j ɡ aː ɡ aː
байгаагаар	p a j ɡ aː ɡ aː r
байгаагаараа	p a j ɡ aː ɡ aː r aː
байгаагаас	p a j ɡ aː ɡ aː s
байгаагийн	p a j ɡ aː ɡ iː n
байгаагийнх	p a j ɡ aː ɡ iː n x
байгаагүй	p a j ɡ aː ɡ u j
байгаад	p a j ɡ aː t
байгаадаа	p a j ɡ aː t aː
байгаарай	p a j ɡ aː r a j
байгаасай	p a j ɡ aː s a j
байгаатай	p a j ɡ aː tʰ a j
байгал	p a j ɡ a ɮ
байгалийн	p a j ɡ a ɮ iː n
байгаль	p a j ɡ a ɮʲ
байгальд	p a j ɡ a ɮʲ t
байгальтай	p a j ɡ a ɮʲ tʰ a j
байгтун	p a j ɡ tʰ ʊ n
байгуулав	p a j ɡ ʊː ɮ a w
байгуулагдсан	p a j ɡ ʊː ɮ a ɡ t s a n
байгуулагдсанаас	p a j ɡ ʊː ɮ a ɡ t s a n aː s
байгуулагч	p a j ɡ ʊː ɮ a ɡ t͡ʃʰ
байгуулалт	p a j ɡ ʊː ɮ a ɮ tʰ
байгуулалтжуулсан	p a j ɡ ʊː ɮ a ɮ tʰ t͡ʃ ʊː ɮ s a n
байгуулалттай	p a j ɡ ʊː ɮ a ɮ tʰtʰ a j
байгуулалтын	p a j ɡ ʊː ɮ a ɮ tʰ iː n
байгуулалцаж	p a j ɡ ʊː ɮ a ɮ t͡sʰ a t͡ʃ
байгуулан	p a j ɡ ʊː ɮ a n
байгуулбал	p a j ɡ ʊː ɮ p a ɮ
байгуулж	p a j ɡ ʊː ɮ t͡ʃ
байгууллага	p a j ɡ ʊː ɮ ɮ a ɡ a
байгууллагаар	p a j ɡ ʊː ɮ ɮ a ɡ aː r
байгууллагаас	p a j ɡ ʊː ɮ ɮ a ɡ aː s
байгууллагад	p a j ɡ ʊː ɮ ɮ a ɡ a t
байгууллагууд	p a j ɡ ʊː ɮ ɮ a ɡ ʊː t
байгууллагуудад	p a j ɡ ʊː ɮ ɮ a ɡ ʊː t a t
байгууллагуудын	p a j ɡ ʊː ɮ ɮ a ɡ ʊː t iː n
байгууллагын	p a j ɡ ʊː ɮ ɮ a ɡ iː n
байгууллын	p a j ɡ ʊː ɮ ɮ iː n
байгууллынх	p a j ɡ ʊː ɮ ɮ iː n x
байгуулсан	p a j ɡ ʊː ɮ s a n
байгуулсангүй	p a j ɡ ʊː ɮ s a n ɡ u j
байгуулснаар	p a j ɡ ʊː ɮ s n aː r
байдаг	p a j t a ɡ
байдаггүй	p a j t a ɡ ɡ u j
байдаггүйг	p a j t a ɡ ɡ u j ɡ
байдагсан	p a j t a ɡ s a n
байдагтай	p a j t a ɡ tʰ a j
байдал	p a j t a ɮ
байдалд	p a j t a ɮ t
байдалтай	p a j t a ɮ tʰ a j
байдгаа	p a j t ɡ aː
байдгаараа	p a j t ɡ aː r aː
байдгийг	p a j t ɡ iː ɡ
байдлаа	p a j t ɮ aː
байдлаар	p a j t ɮ aː r
байдлаас	p a j t ɮ aː s
байдлыг	p a j t ɮ iː ɡ
байдлын	p a j t ɮ iː n
байж	p a j t͡ʃ
байжээ	p a j t͡ʃ ɛː
байз	p a j t͡s
байлаа	p a j ɮ aː
байлга	p a j ɮ ɡ a
байлгадаг	p a j ɮ ɡ a t a ɡ
байлгаж	p a j ɮ ɡ a t͡ʃ
байлгах	p a j ɮ ɡ a x
байлгахад	p a j ɮ ɡ a x a t
байлгахыг	p a j ɮ ɡ a x iː ɡ
байлгахын	p a j ɮ ɡ a x iː n
байлгүй	p a j ɮ ɡ u j
байлдааны	p a j ɮ t aː n iː
байлдан	p a j ɮ t a n
байлтай	p a j ɮ tʰ a j
баймаар	p a j m aː r
байн	p a j n
байна	p a j n a
байнам	p a j n a m
байнга	p a j n ɡ a
байнгын	p a j n ɡ iː n
байнлээ	p a j n ɮ ɛː
байр	p a j r
байраа	p a j r aː
байран	p a j r a n
байранд	p a j r a n t
байрандаа	p a j r a n t aː
байрладаг	p a j r ɮ a t a ɡ
байрлаж	p a j r ɮ a t͡ʃ
байрлалаа	p a j r ɮ a ɮ aː
байрлалын	p a j r ɮ a ɮ iː n
байрлах	p a j r ɮ a x
байрлуул	p a j r ɮ ʊː ɮ
байрлуулж	p a j r ɮ ʊː ɮ t͡ʃ
байрлуулсан	p a j r ɮ ʊː ɮ s a n
байрнаас	p a j r n aː s
байрнаасаа	p a j r n aː s aː
байрны	p a j r n iː
байрныхаа	p a j r n iː x aː
байрт	p a j r tʰ
байртай	p a j r tʰ a j
байруудаар	p a j r ʊː t aː r
байрын	p a j r iː n
байсаар	p a j s aː r
байсан	p a j s a n
байсангүй	p a j s a n ɡ u j
байсанд	p a j s a n t
байсандаа	p a j s a n t aː
байсансан	p a j s a n s a n
байсантай	p a j s a n tʰ a j
байснаа	p a j s n aː
байснаар	p a j s n aː r
байснаараа	p a j s n aː r aː
байснаас	p a j s n aː s
байсны	p a j s n iː
байсныг	p a j s n iː ɡ
байсных	p a j s n iː x
байсныхаа	p a j s n iː x aː
байтал	p a j tʰ a ɮ
байтлаа	p a j tʰ ɮ aː
байтугай	p a j tʰ ʊ ɡ a j
байх	p a j x
байхаа	p a j x aː
байхаар	p a j x aː r
байхаас	p a j x aː s
байхад	p a j x a t
байхгүй	p a j x ɡ u j
байхгүйг	p a j x ɡ u j ɡ
байхгүйгээс	p a j x ɡ u j ɡ ɛː s
байхгүйтэй	p a j x ɡ u j tʰ ɛ j
байхдаа	p a j x t aː
байхсан	p a j x s a n
байхыг	p a j x iː ɡ
байхын	p a j x iː n
байцаа	p a j t͡sʰ aː
байцаав	p a j t͡sʰ aː w
байцаагч	p a j t͡sʰ aː ɡ t͡ʃʰ
байцаагчийн	p a j t͡sʰ aː ɡ t͡ʃʰ iː n
байцаалгасаар	p a j t͡sʰ aː ɮ ɡ a s aː r
байцаалтад	p a j t͡sʰ aː ɮ tʰ a t
байцаалтыг	p a j t͡sʰ aː ɮ tʰ iː ɡ
байшин	p a j ʃ i n
байшинг	p a j ʃ i n ɡ
байшингаас	p a j ʃ i n ɡ aː s
байшингийн	p a j ʃ i n ɡ iː n
байшинд	p a j ʃ i n t
байшиндаа	p a j ʃ i n t aː
байя	p a j j a
бактериуд	p a kʰ tʰʲ i r iʊ t
бал	p a ɮ
балардаг	p a ɮ a r t a ɡ
баларсан	p a ɮ a r s a n
баларснаа	p a ɮ a r s n aː
баларчээ	p a ɮ a r t͡ʃʰ ɛː
балба	p a ɮ p a
балгав	p a ɮ ɡ a w
балган	p a ɮ ɡ a n
балгандонойн	p a ɮ ɡ a n t ɔ n ɔ j n
балгармаа	p a ɮ ɡ a r m aː
балгармаагийн	p a ɮ ɡ a r m aː ɡ iː n
балгаснаа	p a ɮ ɡ a s n aː
балгатал	p a ɮ ɡ a tʰ a ɮ
балгуулчхаад	p a ɮ ɡ ʊː ɮ t͡ʃʰ x aː t
балдан	p a ɮ t a n
балданг	p a ɮ t a n ɡ
балдангийн	p a ɮ t a n ɡ iː n
балдантай	p a ɮ t a n tʰ a j
балданыхан	p a ɮ t a n iː x a n
балжид	p a ɮ t͡ʃ i t
балжийн	p a ɮ t͡ʃ iː n
балжинням	p a ɮ t͡ʃ i n nʲ a m
балиар	p a ɮ ia r
балинг	p a ɮ i n ɡ
баллана	p a ɮ ɮ a n a
баллистик	p a ɮ ɮ i s tʰ i kʰ
баллуур	p a ɮ ɮ ʊː r
балмагдан	p a ɮ m a ɡ t a n
балмад	p a ɮ m a t
балрын	p a ɮ r iː n
балтгар	p a ɮ tʰ ɡ a r
балтийн	p a ɮ tʰ iː n
балчиг	p a ɮ t͡ʃʰ i ɡ
балчир	p a ɮ t͡ʃʰ i r
бамбаруушнуудтайгаа	p a m p a r ʊː ʃ n ʊː t tʰ a j ɡ aː
бангийн	p a n ɡ iː n
бангкоктой	p a n ɡ kʰ ɔ kʰ tʰ ɔ j
бандан	p a n t a n
банзан	p a n t͡s a n
банзны	p a n t͡s n iː
банк	p a n kʰ
банкны	p a n kʰ n iː
банктай	p a n kʰ tʰ a j
бантан	p a n tʰ a n
банчин	p a n t͡ʃʰ i n
банш	p a n ʃ
бао	p aɔ
бар	p a r
бараа	p a r aː
барааг	p a r aː ɡ
бараагаа	p a r aː ɡ aː
бараагүйг	p a r aː ɡ u j ɡ
бараад	p a r aː t
бараадах	p a r aː t a x
бараалаад	p a r aː ɮ aː t
